cultura,fonte_mensalizacao,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
arroz,mensalizacao_oficial_area_colhida,,0.22559735638027453,0.3238434163701068,0.004575495678698526,0.0006990340620233858,0.13682003050330452,0.036858159633960344,0.11368835790543975,0.14647941026944586,0.008896797153024912,0.0020971021860701575,0.00044483985765124553
banana,distribuicao_uniforme_1_12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
cacau,distribuicao_uniforme_1_12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
cana,distribuicao_uniforme_1_12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
feijao,mensalizacao_oficial_area_colhida,0.0,0.0,0.020831155992940063,0.0,0.010415577996470032,0.010415577996470032,0.020831155992940063,0.18748040393646056,0.03664949198344712,0.20204738977223518,0.46908356022898616,0.03664949198344712
laranja,distribuicao_uniforme_1_12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
mandioca,mensalizacao_oficial_area_colhida,0.013747594171020072,0.03478141325268078,0.0569150398680231,0.01182293098707726,0.010723123453395655,0.03959307121253781,0.09348364036293648,0.12716524608193566,0.06640087984602694,0.26189166895793237,0.029557327467693153,0.2539180643387407
milho,mensalizacao_oficial_area_colhida,0.0017398869073510222,0.0,0.004349717268377556,0.0008699434536755111,0.0037697549659272147,0.18544294620849644,0.08336958097723648,0.34971726837755546,0.20037697549659272,0.11961722488038277,0.038422502537335076,0.01232419892706974
soja,mensalizacao_oficial_area_colhida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tomate,distribuicao_uniforme_1_12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
